,n,count
150,手,1
159,技术热情,1
160,按钮,1
165,摄像头差劲,1
169,支架,1
311,通话,1
176,整体大气,1
177,整体性价比,1
180,新手,1
156,手贱,1
185,服务到位,1
187,服务态度垃圾,1
190,机器力,1
194,机型,1
308,转码,1
196,机子力,1
199,机子性能,1
201,机子热,1
205,机身热,1
310,逆光效果,1
206,杂音,1
155,手机屏幕,1
147,恶心,1
93,大屏,1
95,天气,1
97,头像,1
98,好友,1
100,字体,1
103,客户力,1
323,音乐效果,1
107,客服态度热情,1
154,手机功能,1
108,客服恶心,1
120,屏幕显示,1
121,工具,1
122,工细,1
131,开机速度慢,1
132,录影,1
133,形状,1
134,形象,1
142,性能出众,1
321,附件,1
209,样子牛,1
212,模具,1
215,水平,1
264,结实,1
266,网卡,1
268,网络信号,1
271,老板力,1
272,老板热情,1
273,老板细心,1
274,耳朵,1
279,色泽,1
262,线,1
280,芯片,1
301,货物,1
287,视频清晰度,1
291,话,1
292,语气,1
293,语言,1
295,语音力,1
297,象素,1
298,質量,1
281,视觉效果,1
260,系统响应速度,1
259,系统力,1
302,质地,1
218,清晰度力,1
219,清晰度差劲,1
223,热量,1
225,照片力,1
229,牛,1
306,贼,1
234,物流差劲,1
236,物流速度力,1
237,现货,1
238,理想,1
240,用户体验,1
243,电影效果,1
245,电池容量,1
305,质量垃圾,1
251,畫像,1
252,畫質,1
253,畫面,1
254,礼品,1
255,科技,1
91,夜景,1
89,外观酷,1
300,货好,1
76,处理器,1
52,品质信赖,1
53,响应速度,1
332,颗粒,1
25,信誉,1
65,噪音,1
12,价位性价比,1
10,仪器,1
50,品牌质量,1
23,使用性能,1
57,售后热情,1
64,噪点,1
60,商家力,1
20,任我游,1
61,商家热情,1
71,地图,1
72,地图力,1
56,售后垃圾,1
62,喇叭,1
27,像素力,1
78,外壳,1
68,图案,1
34,功耗,1
40,卖家热心,1
31,内存容量,1
333,颗粒感,1
77,处理速度,1
328,音效,1
324,音乐音质,1
81,外形酷,1
45,发音标准,1
46,口碑,1
5,产品外观,1
327,音响音质,1
66,噪音控制,1
29,关机,1
63,喇叭声音,1
299,货品,2
269,网速,2
226,照片效果,2
326,音响效果,2
168,支座,2
261,系统速度,2
164,摄像头力,2
167,摄像头画质,2
175,整体功能,2
182,时尚,2
183,时间,2
197,机子外观,2
200,机子总体,2
331,音量,2
241,用料,2
41,反应速度,2
227,版本,2
158,技术力,2
146,总体效果,2
18,价格性价比,2
144,总体性价比,2
90,夜市,2
3,产品力,2
99,娱乐性,2
111,容量,2
113,小米,2
8,亮度,2
74,垃圾垃圾,2
124,差劲,2
125,店主,2
38,功能牛,2
277,能力差,2
141,性能优越,2
9,亮度高,2
275,耳机,2
318,镜头,2
319,镜子,2
198,机子性价比,3
119,屏幕尺寸,3
96,天气热,3
70,图象,3
309,软件,3
4,产品垃圾,3
204,机身小巧,3
246,电源,3
47,后置摄像头,3
325,音响,3
153,手机像素,3
84,外观大方,3
6,产品小巧,3
172,效率高,3
129,开机时间,3
233,物流垃圾,3
336,高端,3
214,款式大方,3
80,外形小巧,4
7,产品性价比,4
193,机器质量,4
263,细节,4
1,不合理,4
216,流量,4
334,颜值,4
114,尺寸,4
82,外表,4
313,速度力,4
211,档次,4
21,体积小巧,4
94,大气,4
123,工艺,4
294,语音,5
296,说明书,5
307,赠品,5
37,功能力,5
207,材质,5
191,机器外观,5
55,售后力,5
88,外观设计,5
283,视野,5
139,性比价,5
188,服务态度热情,5
284,视镜,5
173,数据,5
265,缝隙,5
130,开机速度,6
239,用处,6
257,空间,6
118,屏幕大气,6
256,稳定性,7
290,评价,7
59,商家,7
286,视频效果,7
73,垃圾,7
148,情况,7
112,小巧,7
163,摄像头像素,7
192,机器小巧,7
282,视角,7
202,机子质量,7
179,整体效果,7
288,角度,7
87,外观时尚,8
317,金属质感,8
166,摄像头效果,8
210,样式,8
178,整体感觉,9
315,造型,9
157,技术,9
16,价格公道,9
231,物流公司服务态度,9
184,显示屏,9
105,客服力,9
322,音乐,10
335,颜色,10
267,网络,10
171,效果理想,10
289,触屏,10
314,速度慢,11
19,价钱,11
247,电脑,11
39,卖家,11
69,图片,11
102,实用性,11
320,问题,11
203,机身,12
42,发热量,12
115,屏,12
92,夜视,12
228,牌子,12
117,屏幕分辨率,13
278,色彩,13
161,按键,13
181,方面,13
244,电池,13
330,音质效果,13
14,价格低,14
250,界面,14
208,样子,14
242,电影,14
224,照片,15
28,光线,15
127,店家热情,16
220,温度,16
101,定位,16
86,外观小巧,16
151,手感,17
270,老板,17
235,物流速度,18
22,体验,20
58,商品,20
213,款式,21
51,品质,21
276,能力,21
36,功能全面,23
145,总体感觉,23
49,品牌信赖,23
54,售后,24
221,灵敏度,25
109,客服服务态度,26
126,店家,26
17,价格合理,26
85,外观大气,27
79,外形,27
24,信号,28
329,音质,34
110,客服热情,36
303,质感,37
222,热情,38
136,性价,41
316,配件,42
128,开机,43
11,价位,45
32,分辨率,48
140,性能,53
33,力,55
232,物流力,62
337,高端大气,65
30,内存,65
149,感觉,66
174,整体,66
75,声音,67
44,发货速度,80
258,系统,84
48,品牌,84
15,价格便宜,88
106,客服态度,89
248,画质,96
195,机子,115
189,机器,127
152,手机,131
43,发货,140
285,视频,161
83,外观,169
2,产品,177
116,屏幕,182
143,总体,202
13,价格,203
26,像素,205
230,物流,217
104,客服,238
138,性价高,242
67,图像,279
312,速度,291
137,性价比,301
186,服务态度,326
162,摄像头,335
249,画面,389
217,清晰度,421
135,态度,578
304,质量,819
35,功能,1126
170,效果,1226
