,n,count
435,插孔,1
552,款型大方,1
245,外貌,1
557,死机垃圾,1
560,毛病力,1
561,气温,1
562,洋气,1
563,流速,1
565,流量力,1
570,滑轮,1
571,灯,1
573,灯光力,1
575,灰尘,1
231,外观性能,1
230,外观帅气,1
584,牌子不值钱,1
585,牌子垃圾,1
226,外观垃圾,1
550,模样,1
546,棱角分明,1
250,夜视力,1
251,大器,1
271,定位垃圾,1
521,机子温度,1
269,定价,1
268,存储空间,1
267,字迹,1
524,机子质量力,1
526,机身内存,1
264,妹子细心,1
225,外观力,1
262,套路,1
260,套套,1
532,材质廉价,1
258,太牛,1
533,材质手感,1
534,材质结实,1
255,大气大方,1
253,大屏力,1
545,棒棒,1
261,套装,1
272,实业,1
588,物体,1
591,物品小巧,1
192,地方感觉,1
627,电线,1
632,画片,1
188,图纸,1
187,图章,1
374,心,1
636,画面力,1
637,画面垃圾,1
183,图样,1
181,图像效果垃圾,1
639,画面恶心,1
179,图像垃圾,1
178,图像力,1
645,畫像,1
649,皮,1
650,皮质,1
651,监视器,1
193,地标,1
194,坐垫,1
195,坑爹,1
626,电笔,1
220,外表大方,1
600,特价,1
601,状况,1
217,外形经典,1
213,外形大方,1
211,外壳质量,1
613,用途,1
209,备件,1
590,物品力,1
615,电子产品垃圾,1
620,电池垃圾,1
623,电源差劲,1
202,垫子,1
201,型号力,1
624,电源指示灯,1
199,垃圾骗子,1
198,垃圾差劲,1
625,电源适配器,1
616,电子灵差,1
652,盒子,1
274,实物小巧,1
276,客,1
408,成绩,1
410,手工,1
342,差距,1
414,手机内存,1
340,差,1
419,手机时尚,1
420,手机热,1
422,手法利索,1
424,手贱,1
427,技术热情,1
332,屏幕色彩,1
428,技术牛,1
429,指尖,1
329,屏幕清晰度力,1
430,指示灯,1
869,黑子,1
438,摄像头分辨率,1
345,布料,1
346,帽子,1
406,感性,1
348,底盘,1
370,影音,1
369,影片,1
376,快件,1
367,形体,1
379,态度垃圾,1
364,强度,1
362,式样,1
382,态度恶心,1
439,摄像头力,1
385,急件,1
357,建议,1
356,店铺,1
390,性价比牛,1
354,店家垃圾,1
392,性格,1
351,店主细心,1
400,总体力,1
349,店,1
389,性价比出众,1
519,机子总体,1
324,屏幕手感,1
443,摄像头牛,1
481,日子,1
482,时候,1
485,星,1
488,显示屏力,1
291,客服服务态度力,1
489,显示屏差劲,1
491,景象,1
493,朋友,1
497,服务态度差劲,1
285,客服态度力,1
501,机器垃圾,1
504,机器差劲,1
508,机器稳定性,1
281,客服坑爹,1
514,机子垃圾,1
516,机子外观大气,1
518,机子性能,1
479,方式,1
297,对方,1
298,寿命,1
478,方向,1
320,屏幕垃圾,1
319,屏幕坑爹,1
447,操作性,1
457,效用,1
458,数,1
460,数据垃圾,1
465,整体大方,1
311,局长,1
441,摄像头差劲,1
309,小锅,1
307,小米力,1
474,料子,1
476,新手,1
477,方位,1
303,小哥细心,1
302,小哥,1
301,小儿,1
300,小伙,1
473,文件,1
172,喇叭音质,1
373,微距,1
654,直觉,1
771,貨品,1
71,信用,1
772,質感,1
782,质量垃圾,1
68,信号力,1
784,质量牛,1
66,信价,1
785,费电,1
786,贼,1
787,资源,1
788,资金,1
791,赠品垃圾,1
792,距离,1
793,路,1
56,传感器,1
798,车,1
800,软件力,1
73,值,1
52,价给力,1
769,读音,1
77,像素密度,1
732,装置,1
97,分辩率,1
734,視野,1
736,视图,1
94,准确度,1
741,视角全面,1
742,视角力,1
747,视频垃圾,1
89,内存垃圾,1
88,内存坑爹,1
653,盒子结实,1
85,关键小巧,1
758,警报,1
83,关机速度,1
759,记录,1
762,评分,1
79,光線,1
768,说明书恶心,1
51,价格比,1
801,软件垃圾,1
802,输入法,1
843,面积,1
845,音乐效果,1
848,音响力,1
849,音响声音,1
851,音响音质,1
16,产品坑爹,1
857,音频,1
861,颜值大,1
863,颜色单调,1
10,主板,1
9,主人,1
8,个子小巧,1
6,个体小巧,1
5,东站,1
4,世态,1
3,专业小巧,1
866,风景,1
22,产品牛,1
842,面目,1
841,面板,1
838,集成度,1
806,逆光效果,1
807,选择性,1
808,透明度,1
815,造型大气,1
818,道路,1
819,邮件,1
39,价实,1
821,配件质量,1
731,装备,1
37,价位牛,1
825,链接,1
33,价,1
32,仪器小巧,1
829,镜头小巧,1
30,代价,1
831,镜片,1
835,间隙,1
27,人品,1
35,价位值,1
101,办公,1
757,触觉,1
712,胶力,1
666,科技,1
715,脚垫,1
685,细节方面,1
711,胳膊,1
710,胖子,1
129,发货垃圾,1
709,肥肠,1
708,肢务,1
706,耗电量,1
159,商品垃圾,1
133,口感,1
670,粘性,1
673,精准小巧,1
676,系统力,1
705,老爸,1
729,表现出色,1
135,同学,1
146,品牌垃圾,1
687,经销商,1
690,结构合理,1
691,结构设计,1
693,综合性,1
695,网力,1
124,参数牛,1
698,网购,1
138,后置差劲,1
681,线条,1
679,纪录,1
678,红糖,1
677,系统垃圾,1
136,名气,1
702,老板力,1
123,厚度,1
683,细心,1
717,脾气好,1
720,航班,1
716,脚感,1
112,功能键,1
166,商家恶心,1
110,功能流氓,1
167,商家流氓,1
109,功能差劲,1
108,功能太牛,1
660,硬件质量,1
725,虚标,1
106,功能坑爹,1
726,行程,1
727,衣服,1
658,矮油,1
728,补光效果,1
114,动态,1
115,动静,1
165,商家差劲,1
665,种类,1
662,礼,1
718,膜,1
119,卡,1
719,自带系统,1
163,商家坑爹,1
118,卖家细心,1
116,助手,1
674,精确度,2
638,画面差劲,2
682,线路,2
865,额,2
416,手机力,2
415,手机分辨率,2
853,音箱,2
836,阶段,2
384,态度牛,2
378,态度力,2
396,性能全面,2
661,磨具,2
630,电量消耗,2
864,颜色时尚,2
380,态度差劲,2
667,程序,2
856,音量,2
535,架子,2
608,產品,2
619,电池力,2
581,版,2
578,热量,2
764,话,2
763,试一下,2
568,清晰度垃圾,2
760,证书,2
490,显示屏效果,2
517,机子性价比,2
754,角度力,2
722,色度,2
753,角度全面,2
547,概念,2
528,机身热,2
733,裤子,2
520,机子时尚,2
823,量,2
586,牛,2
599,物理,2
817,造型酷,2
614,电子产品,2
444,摄像头画质,2
809,通话,2
704,老板热情,2
446,撬棒,2
790,赠品力,2
804,运气,2
607,理想,2
472,整体造型,2
606,现货,2
602,狗,2
797,身材小巧,2
795,路线,2
466,整体大气,2
634,画质垃圾,2
870,黑色,2
98,分量,2
145,品牌力,2
263,套餐,2
120,印象,2
20,产品差劲,2
158,商品力,2
38,价值,2
208,处理速度,2
206,声音音质,2
122,厂家热情,2
278,客户细心,2
336,屏给力,2
204,声音刺耳,2
65,保险,2
113,动作,2
334,屏幕霸气,2
191,地方,2
25,亮点,2
60,体积,2
58,体型,2
286,客服态度垃圾,2
287,客服态度差劲,2
54,价钱力,2
132,发音标准,2
323,屏幕感觉,2
29,介面,2
44,价格值,2
173,噪声,2
314,屏幕亮度,2
64,使用寿命,2
347,广告,2
160,商品小巧,2
234,外观整体,2
92,内容,2
223,外觀,2
363,弹性,2
100,力度,2
70,信息力,2
236,外观经典,2
12,事业,2
87,内存力,2
13,事情,2
315,屏幕亮度高,2
141,后背,2
244,外观霸气,2
111,功能牛,2
78,價,2
81,全屏,2
246,夜光,2
604,环境,3
50,价格方面,3
735,规格,3
703,老板大方,3
305,小毛病,3
308,小米垃圾,3
471,整体质感,3
93,内置,3
648,白色,3
464,整体外观,3
176,图,3
95,出风口,3
587,物件,3
248,夜景,3
222,外表时尚,3
796,路面,3
207,处理器力,3
603,狗狗,3
218,外形酷,3
107,功能垃圾,3
783,质量差劲,3
567,清晰度力,3
605,现象,3
55,优势,3
612,用电,3
190,地图,3
61,体积小,3
730,表面,3
233,外观手感,3
794,路况,3
746,视频力,3
506,机器性能,3
541,样式时尚,3
686,经济,3
140,后置摄像头效果,3
399,总体体验,3
837,附件,3
142,味道,3
839,面,3
151,响应速度,3
434,插口,3
418,手机屏幕,3
331,屏幕省电,3
680,线,3
655,相片,3
2,专业,3
846,音乐音质,3
343,布局,3
361,开机速度慢,3
688,结实,3
452,效果差劲,3
453,效果牛,3
417,手机功能,3
368,形状,3
432,按键手感,3
186,图画,4
850,音响效果,4
205,声音效果,4
822,重量,4
549,模式,4
421,手机速度,4
330,屏幕灵敏度,4
82,关机,4
404,恶心,4
426,技术力,4
697,网络力,4
59,体型小巧,4
544,梦,4
137,后置,4
28,人性化,4
461,数据线,4
366,录相,4
810,通话质量,4
827,镜像,4
31,仪器,4
318,屏幕力,4
102,功耗,4
656,眼光,4
572,灯光,4
237,外观结实,4
803,边框,4
657,眼睛,4
858,頭,4
294,客服牛,4
724,范围,4
344,布局合理,4
84,关键,4
610,用户体验,5
214,外形大气,5
171,喇叭声音,5
75,像素力,5
542,样样,5
76,像素垃圾,5
247,夜市,5
155,售后差劲,5
855,音质效果,5
240,外观设计大气,5
359,开机时间,5
867,高端,5
538,样子大气,5
395,性能优越,5
295,家用,5
522,机子热,5
496,服务态度力,5
824,银色,5
325,屏幕效果,5
451,效果太牛,5
182,图形,5
335,屏灵,5
47,价格厚道,5
700,网速慢,5
805,适用性,5
500,机器力,6
440,摄像头垃圾,6
169,商家骗子,6
859,页面,6
299,寿命长,6
333,屏幕角度,6
539,样子时尚,6
475,新品,6
537,样子大方,6
468,整体性能,6
337,工具,6
409,手,6
778,质地,6
507,机器整体,6
555,正品,6
326,屏幕显示,7
580,照片效果,7
232,外观感觉,7
170,喇叭,7
664,礼物,7
492,智能,7
277,客户,7
774,货,7
200,型号,7
164,商家垃圾,7
672,精准,7
509,机器结实,7
671,精,7
148,品質,8
647,畫面,8
770,象素,8
574,灰,8
288,客服态度恶劣,8
90,内存容量,8
852,音效,8
19,产品小巧,8
221,外表大气,8
243,外观酷,8
707,耳机,8
558,比例,8
816,造型时尚,9
375,心情,9
455,效率,9
775,货品,9
156,售后热情,9
840,面料,9
765,语言,9
125,反应速度,9
433,掌柜,9
692,结果,9
259,头像,9
131,发货速度力,10
162,商家力,10
659,硬件,10
631,画像,10
530,材料,10
515,机子外观,10
830,镜子,10
559,毛病,10
242,外观造型,10
